"Year","Quarter ID","Quarter","Month ID","Month","Day","Time ID","Time","Nation ID","Nation","State ID","State","Accum Cases","Daily Cases","AVG 7 Days Accum Cases","AVG 7 Days Daily Cases","Rate Daily Cases","Rate Accum Cases","Days from 50 Cases","Style"
2020,1,"Q1",3,"2020-03",31,20200331,"2020-03-31","mex","México",7,"Chiapas",17,2,12,1.7142857313156128,0.034901779145002365,0.29666513204574585,0,"solid"
2020,1,"Q1",3,"2020-03",31,20200331,"2020-03-31","mex","México",12,"Guerrero",34,5,25,3,0.13672229647636414,0.929711639881134,0,"solid"
2020,1,"Q1",3,"2020-03",31,20200331,"2020-03-31","mex","México",20,"Oaxaca",27,6,18.14285659790039,2.5714285373687744,0.14480186998844147,0.651608407497406,0,"solid"
2020,1,"Q1",3,"2020-03",31,20200331,"2020-03-31","mex","México",21,"Puebla",153,22,110,12.285714149475098,0.33310869336128235,2.316619396209717,9,"solid"
2020,1,"Q1",3,"2020-03",31,20200331,"2020-03-31","mex","México",30,"Veracruz de Ignacio de la Llave",38,2,31.428571701049805,2.2857143878936768,0.023419581353664398,0.44497206807136536,0,"solid"
2020,2,"Q2",4,"2020-04",1,20200401,"2020-04-01","mex","México",7,"Chiapas",21,4,14,2,0.06980355829000473,0.3664686679840088,0,"solid"
2020,2,"Q2",4,"2020-04",1,20200401,"2020-04-01","mex","México",12,"Guerrero",37,3,28,3,0.08203338086605072,1.0117449760437012,0,"solid"
2020,2,"Q2",4,"2020-04",1,20200401,"2020-04-01","mex","México",20,"Oaxaca",28,1,20.428571701049805,2.2857143878936768,0.024133644998073578,0.6757420301437378,0,"solid"
2020,2,"Q2",4,"2020-04",1,20200401,"2020-04-01","mex","México",21,"Puebla",169,16,123.71428680419922,13.714285850524902,0.2422608584165573,2.55888032913208,10,"solid"
2020,2,"Q2",4,"2020-04",1,20200401,"2020-04-01","mex","México",30,"Veracruz de Ignacio de la Llave",47,9,34.71428680419922,3.2857143878936768,0.10538811981678009,0.5503602027893066,0,"solid"
2020,2,"Q2",4,"2020-04",2,20200402,"2020-04-02","mex","México",7,"Chiapas",23,2,16.285715103149414,2.2857143878936768,0.034901779145002365,0.40137046575546265,0,"solid"
2020,2,"Q2",4,"2020-04",2,20200402,"2020-04-02","mex","México",12,"Guerrero",38,1,30.571428298950195,2.5714285373687744,0.027344459667801857,1.0390894412994385,0,"solid"
2020,2,"Q2",4,"2020-04",2,20200402,"2020-04-02","mex","México",20,"Oaxaca",28,0,22.285715103149414,1.8571428060531616,0,0.6757420301437378,0,"solid"
2020,2,"Q2",4,"2020-04",2,20200402,"2020-04-02","mex","México",21,"Puebla",188,19,137.85714721679688,14.142857551574707,0.28768476843833923,2.8465652465820312,11,"solid"
2020,2,"Q2",4,"2020-04",2,20200402,"2020-04-02","mex","México",30,"Veracruz de Ignacio de la Llave",53,6,38.14285659790039,3.4285714626312256,0.0702587440609932,0.6206189393997192,1,"solid"
2020,2,"Q2",4,"2020-04",3,20200403,"2020-04-03","mex","México",7,"Chiapas",28,5,18.571428298950195,2.2857143878936768,0.08725444972515106,0.4886249005794525,0,"solid"
2020,2,"Q2",4,"2020-04",3,20200403,"2020-04-03","mex","México",12,"Guerrero",39,1,32.85714340209961,2.2857143878936768,0.027344459667801857,1.0664339065551758,0,"solid"
2020,2,"Q2",4,"2020-04",3,20200403,"2020-04-03","mex","México",20,"Oaxaca",31,3,24.428571701049805,2.142857074737549,0.07240093499422073,0.7481429576873779,0,"solid"
